PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
GxEu5,5rk1/5pp1/p3q2p/2b1N3/2P2P2/P5PP/1r3nBK/R2Q1R2 w - - 2 24,d1d5 e6h3 g2h3 f2g4 h2h1 b2h2,1941,89,88,49,discoveredCheck doubleCheck long mate mateIn3 middlegame pillsburysMate sacrifice,https://lichess.org/ocnB4j7f#47,
Kungu,6rr/1p6/p6k/2q2pp1/8/2P3Q1/PP3PK1/3R1R2 w - - 4 35,d1d7 c5c6 g3f3 c6d7,1189,83,91,354,endgame,https://lichess.org/CCcOzf5z#69,
VZb6n,2r5/6k1/p2p1rp1/qp1Rp3/b3P3/1B3PQ1/PPP5/2K3R1 w - - 0 26,d5d6 a4b3 d6d7 g7f8 a2b3 a5a1 c1d2 a1b2 g1c1 f6c6 c1d1 c6c2,2764,104,87,585,crushing deflection master middlegame pin queensideAttack veryLong,https://lichess.org/NconVE3G#51,
JGli5,r1b1k2r/ppp1qppp/5n2/8/1b1P4/5N2/PP1BBPPP/R2QK2R b KQkq - 5 11,f6e4 d1a4 c8d7 a4b4 e7b4 d2b4,1607,76,94,4966,crushing long opening,https://lichess.org/qmTYz6B4/black#22,Queens_Gambit_Declined Queens_Gambit_Declined_Modern_Variation
NUe5x,1r3Bk1/2pq3p/2np1pp1/4pN2/p2bn1Q1/P6P/1P3PPN/R5K1 b - - 0 25,b8f8 f5h6 g8h8 g4d7 d4f2 g1f1,1369,79,95,17660,crushing discoveredAttack long middlegame,https://lichess.org/pj1N3T6N/black#50,
0UuNM,r1b1rbk1/1p3ppp/1qpp1n2/5N2/n1P5/1P2PB2/PBQ2PPP/3R1RK1 w - - 0 16,b3a4 c8f5 c2f5 b6b2,1073,78,86,1020,advantage master middlegame short,https://lichess.org/Ao1e1q92#31,Nimzo-Larsen_Attack Nimzo-Larsen_Attack_Modern_Variation
JmAQk,r3r1k1/2q1bp1p/p4np1/1p1p1nB1/3P1PP1/PPNQ4/2B4P/R3R1K1 b - - 0 20,f5d6 e1e7 c7e7 c3d5 f6d5 g5e7,2262,79,85,195,advantage attraction long middlegame,https://lichess.org/HabV3upE/black#40,
txqmX,r3k2r/pp3ppp/1q1p4/4pbB1/2P1N3/Pn1Q1N2/1PK2bPP/1R3B1R w kq - 1 15,d3b3 f5e4 f1d3 b6b3 c2b3 e4d3,1763,75,87,128,advantage hangingPiece intermezzo long middlegame,https://lichess.org/Q50BUSxz#29,Benoni_Defense Benoni_Defense_Old_Benoni
s0Hp6,1r3r1k/p2q1p2/7p/2bpp2P/8/1RN5/P1PQ1P2/4K1R1 b - - 5 28,h8h7 b3b8 f8b8 d2d3 h7h8 d3g3,2700,118,89,1244,advantage long middlegame,https://lichess.org/A1wtzwLy/black#56,
NqbKz,r1b1k2r/ppN1nppp/8/6B1/8/5N2/Pq2PKPP/3R1B1R b kq - 0 11,e8f8 d1d8,955,78,85,186,mate mateIn1 middlegame oneMove,https://lichess.org/Vt7CEbjB/black#22,Englund_Gambit Englund_Gambit_Other_variations
iE32u,2rq1rk1/pb3ppp/1p2pn2/2b1N1B1/8/3B4/PPP2PPP/R2QR1K1 w - - 4 14,e5g4 d8d5 g4f6 g7f6,2020,76,93,6126,advantage master opening short,https://lichess.org/MJgovPkN#27,French_Defense French_Defense_Rubinstein_Variation
zfw5B,2r2rk1/1b3ppp/p3pn2/qp1pN3/3P4/2PQP2P/P1B2PP1/R1R3K1 b - - 3 17,c8c3 d3c3 a5c3 c2h7 g8h7 c1c3,1890,76,87,231,advantage discoveredAttack long middlegame sacrifice,https://lichess.org/rcy5lT6G/black#34,Slav_Defense Slav_Defense_Exchange_Variation
gamnl,8/8/p2r3p/3r4/3p3P/3k1P2/PR3K2/2R5 b - - 14 44,d5b5 b2e2 d6f6 c1c2 f6f3 f2f3,2416,118,89,578,advantage endgame long quietMove rookEndgame,https://lichess.org/QlhfraJF/black#88,
yYGMs,1r6/8/p7/PPpPk1pr/4B3/4KP2/6P1/1R6 b - - 0 42,b8b5 b1b5 a6b5 d5d6 e5d6 a5a6 h5h1 a6a7,2397,100,83,22,advancedPawn crushing endgame veryLong,https://lichess.org/k3aLoGU9/black#84,
